IDATid,Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID,SNPid,SAMPLE_ID,INVENTORY_SAMPLE_NAME,SampleType,Plate,GreenIDAT,RedIDAT
6317383025_R04C01,Unk397,6317383025,r04c01,_ega-box-147_6317383025_r04c01,WG0118066.DNAH02,635675,MOLP-8,CellLine,WG0118066,6317383025_r04c01_grn.idat,6317383025_r04c01_red.idat
6317383028_R03C01,Unk398,6317383028,r03c01,_ega-box-147_6317383028_r03c01,WG0118066.DNAF04,635691,HOP-62,CellLine,WG0118066,6317383028_r03c01_grn.idat,6317383028_r03c01_red.idat
6317383030_R01C01,Unk399,6317383030,r01c01,_ega-box-147_6317383030_r01c01,WG0118066.DNAE05,635699,NCI-H1703,CellLine,WG0118066,6317383030_r01c01_grn.idat,6317383030_r01c01_red.idat
6317383030_R02C01,Unk400,6317383030,r02c01,_ega-box-147_6317383030_r02c01,WG0118066.DNAG05,635701,NCI-H1781,CellLine,WG0118066,6317383030_r02c01_grn.idat,6317383030_r02c01_red.idat
6317383047_R01C01,Unk401,6317383047,r01c01,_ega-box-147_6317383047_r01c01,WG0118066.DNAA06,635703,NCI-H1975 (IVCC),CellLine,WG0118066,6317383047_r01c01_grn.idat,6317383047_r01c01_red.idat
6317383047_R03C01,Unk402,6317383047,r03c01,_ega-box-147_6317383047_r03c01,WG0118066.DNAB06,635704,NCI-H2009,CellLine,WG0118066,6317383047_r03c01_grn.idat,6317383047_r03c01_red.idat
6317391011_R01C01,Unk403,6317391011,R01C01,_ega-box-147_6317391011_R01C01,WG0118064.DNAE12,636406,DOK,CellLine,WG0118064,6317391011_R01C01_Grn.idat,6317391011_R01C01_Red.idat
6317391011_R02C01,Unk404,6317391011,R02C01,_ega-box-147_6317391011_R02C01,WG0118064.DNAG12,636408,AN3 CA,CellLine,WG0118064,6317391011_R02C01_Grn.idat,6317391011_R02C01_Red.idat
6317391011_R03C01,Unk405,6317391011,R03C01,_ega-box-147_6317391011_R03C01,WG0118064.DNAF12,636407,SCC-25,CellLine,WG0118064,6317391011_R03C01_Grn.idat,6317391011_R03C01_Red.idat
6317391011_R04C01,Unk406,6317391011,R04C01,_ega-box-147_6317391011_R04C01,WG0118064.DNAH12,636409,HCC1482,CellLine,WG0118064,6317391011_R04C01_Grn.idat,6317391011_R04C01_Red.idat
6317391046_R01C01,Unk407,6317391046,R01C01,_ega-box-147_6317391046_R01C01,WG0118056.DNAE02,637024,SW 780,CellLine,WG0118056,6317391046_R01C01_Grn.idat,6317391046_R01C01_Red.idat
6317391046_R02C01,Unk408,6317391046,R02C01,_ega-box-147_6317391046_R02C01,WG0118056.DNAG02,637026,786-O,CellLine,WG0118056,6317391046_R02C01_Grn.idat,6317391046_R02C01_Red.idat
6317391046_R03C01,Unk409,6317391046,R03C01,_ega-box-147_6317391046_R03C01,WG0118056.DNAF02,637025,769-P,CellLine,WG0118056,6317391046_R03C01_Grn.idat,6317391046_R03C01_Red.idat
6317391046_R04C01,Unk410,6317391046,R04C01,_ega-box-147_6317391046_R04C01,WG0118056.DNAH02,637027,Caki-2,CellLine,WG0118056,6317391046_R04C01_Grn.idat,6317391046_R04C01_Red.idat
6317391047_R02C01,Unk411,6317391047,R02C01,_ega-box-147_6317391047_R02C01,WG0118056.DNAC01,637014,MCF10DCIS.com,CellLine,WG0118056,6317391047_R02C01_Grn.idat,6317391047_R02C01_Red.idat
6317391047_R04C01,Unk412,6317391047,R04C01,_ega-box-147_6317391047_R04C01,WG0118056.DNAD01,637015,G141,CellLine,WG0118056,6317391047_R04C01_Grn.idat,6317391047_R04C01_Red.idat
6317391048_R01C01,Unk413,6317391048,R01C01,_ega-box-147_6317391048_R01C01,WG0118056.DNAE01,637016,LS174T,CellLine,WG0118056,6317391048_R01C01_Grn.idat,6317391048_R01C01_Red.idat
6317391048_R02C01,Unk414,6317391048,R02C01,_ega-box-147_6317391048_R02C01,WG0118056.DNAG01,637018,SW48,CellLine,WG0118056,6317391048_R02C01_Grn.idat,6317391048_R02C01_Red.idat
6317391048_R03C01,Unk415,6317391048,R03C01,_ega-box-147_6317391048_R03C01,WG0118056.DNAF01,637017,SW1463,CellLine,WG0118056,6317391048_R03C01_Grn.idat,6317391048_R03C01_Red.idat
6317391048_R04C01,Unk416,6317391048,R04C01,_ega-box-147_6317391048_R04C01,WG0118056.DNAH01,637019,SW480,CellLine,WG0118056,6317391048_R04C01_Grn.idat,6317391048_R04C01_Red.idat
